label,generation,hypervolume
u1_nsgaii_div,0,3831642.7346
u1_nsgaii_div,1,3924464.3172
u1_nsgaii_div,2,3655575.1431
u1_nsgaii_div,3,3793799.2897
u1_nsgaii_div,4,3808054.6565
u1_nsgaii_div,5,3869075.6363
u1_nsgaii_div,6,4374388.8545
u1_nsgaii_div,7,4386735.0415
u1_nsgaii_div,8,4609411.6085
u1_nsgaii_div,9,4575885.6695
u1_nsgaii_div,10,4580157.5775
u1_nsgaii_div,11,4614298.938
u1_nsgaii_div,12,4615630.509
u1_nsgaii_div,13,4651521.9498
u1_nsgaii_div,14,4657506.5588
u1_nsgaii_div,15,4667939.306
u1_nsgaii_div,16,4667957.814
u1_nsgaii_div,17,4663871.5513
u1_nsgaii_div,18,4675716.5572
u1_nsgaii_div,19,4676466.2852
u1_nsgaii_div,20,4742251.6283
u1_nsgaii_div,21,4744007.4083
u1_nsgaii_div,22,4810414.703
u1_nsgaii_div,23,4819873.978
u1_nsgaii_div,24,4831951.0778
u1_nsgaii_div,25,4833715.9594
u1_nsgaii_div,26,4855080.678
u1_nsgaii_div,27,4850566.429
u1_nsgaii_div,28,4870355.1396
u1_nsgaii_div,29,4897000.9289
u1_nsgaii_div,30,4913935.1279
u1_nsgaii_div,31,4914369.1959
u1_nsgaii_div,32,4922161.2569
u1_nsgaii_div,33,4934481.9496
u1_nsgaii_div,34,4934481.9496
u1_nsgaii_div,35,4975571.3871
u1_nsgaii_div,36,4989227.3001
u1_nsgaii_div,37,5011058.7276
u1_nsgaii_div,38,5001310.856
u1_nsgaii_div,39,5011137.6662
u1_nsgaii_div,40,5011148.7062
u1_nsgaii_div,41,5011385.6242
u1_nsgaii_div,42,5031469.0627
u1_nsgaii_div,43,5032166.9167
u1_nsgaii_div,44,5031831.0847
u1_nsgaii_div,45,5050221.7445
u1_nsgaii_div,46,5050034.8565
u1_nsgaii_div,47,5050935.6945
u1_nsgaii_div,48,5063735.1985
u1_nsgaii_div,49,5063735.1985
u1_nsgaii_div,50,5065937.7695
u1_nsgaii_div,51,5101418.1476
u1_nsgaii_div,52,5101418.1476
u1_nsgaii_div,53,5101418.1476
u1_nsgaii_div,54,5083781.0996
u1_nsgaii_div,55,5083586.3702
u1_nsgaii_div,56,5083665.1202
u1_nsgaii_div,57,5083665.1202
