solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,105.3,27.49,577.0,0,2,10,17,2750.96,98.43,305.32,14.67,2111.72,6;331;248;265;44;79;55;145;236;206;217;74;108;151;305;15;266,BEYAZ PEYNIR | PORTAKAL SUYU LD | KARPUZ | KİVİ | LOR PEYNİRİ | SÜT | PATATES PÜRESİ B | DANA KIZARTMA | İÇ PİLAV | FIRIN SÜTLAÇ | HAYDARİ | SEMİZOTU SALATASI | ARPA ŞEHRİYE PİLAVI | DOMATESLİ ERİŞTE | NOHUTLU PİRİNÇ PİLAVI | DOMATES SALATALIK SÖĞÜŞ | KORNİŞON TURŞU
1,96.1,24.21,510.0,0,3,10,13,2311.03,82.49,314.99,30.34,1384.65,248;3;113;29;41;53;55;145;236;206;217;74;108,KARPUZ | AYVA REÇELİ | AYVA | INCİR REÇELİ | KURU KAYISI | PANKEK | PATATES PÜRESİ B | DANA KIZARTMA | İÇ PİLAV | FIRIN SÜTLAÇ | HAYDARİ | SEMİZOTU SALATASI | ARPA ŞEHRİYE PİLAVI
2,90.0,23.32,340.0,1,5,9,12,2165.45,84.48,281.1,60.16,1926.4,12;113;29;41;53;6;392;257;150;34;74;357,ÇİLEK REÇELİ | AYVA | INCİR REÇELİ | KURU KAYISI | PANKEK | BEYAZ PEYNIR | YOĞURTLU MANTI MAKARNA | KIYMALI ISPANAK | DOMATESLİ BİBERLİ ERİŞTE | KARNABAHAR SALATASI | SEMİZOTU SALATASI | SUCUKLU KURU FASULYE
3,85.4,20.66,345.0,1,5,9,12,2203.24,70.12,278.2,49.72,1981.63,12;113;29;41;53;6;392;257;150;34;24;389,ÇİLEK REÇELİ | AYVA | INCİR REÇELİ | KURU KAYISI | PANKEK | BEYAZ PEYNIR | YOĞURTLU MANTI MAKARNA | KIYMALI ISPANAK | DOMATESLİ BİBERLİ ERİŞTE | KARNABAHAR SALATASI | HAVUÇ SALATASI | YOĞURTLU KARIŞIK KIZARTMA
4,85.2,31.88,280.0,0,4,11,14,2241.04,99.11,278.92,31.31,1491.8,3;213;113;29;41;76;90;24;162;129;327;224;398;228,AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | YAZ HELVASI | HAVUÇ SALATASI | ERİŞTE | BULGUR PİLAVI | PİRİNÇ PİLAVI | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | ZEYTİNYAĞLI BROKOLİ | HİNDİ KÜLBASTI
5,84.4,35.97,162.0,0,3,12,16,2359.55,63.47,344.2,29.71,1435.64,113;29;41;76;18;67;3;213;6;217;223;184;327;224;23;28,AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | BEYAZ PEYNIR | HAYDARİ | HAZIR PAKETLİ SÜTLÜ TATLI-SUPANGLE | ETSİZ KARNABAHAR | PİRİNÇ PİLAVI | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | HAŞLANMIŞ YUMURTA | HİNDİ SALAMI
6,83.0,22.61,330.0,1,5,9,11,2080.69,81.94,276.16,59.82,1875.76,12;113;29;41;53;6;392;257;150;34;357,ÇİLEK REÇELİ | AYVA | INCİR REÇELİ | KURU KAYISI | PANKEK | BEYAZ PEYNIR | YOĞURTLU MANTI MAKARNA | KIYMALI ISPANAK | DOMATESLİ BİBERLİ ERİŞTE | KARNABAHAR SALATASI | SUCUKLU KURU FASULYE
7,81.9,24.29,285.0,0,4,10,15,1997.45,51.35,299.12,38.16,1717.57,12;18;67;3;213;113;29;41;76;6;266;197;304;402;56,ÇİLEK REÇELİ | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | KORNİŞON TURŞU | EZOGELİN ÇORBASI LD | NOHUTLU AYRAN  ÇORBASI | ZEYTİNYAĞLI KEREVİZ | PATATES SALATASI
8,81.4,32.37,250.0,1,5,11,15,2183.66,71.0,274.55,35.85,1715.38,12;18;67;3;213;113;29;41;76;6;217;107;391;13;235,ÇİLEK REÇELİ | ELMA SUYU | PORTAKAL SUYU | AYVA REÇELİ | HAVUÇ SUYU LD | AYVA | INCİR REÇELİ | KURU KAYISI | SİYAH ZEYTIN | BEYAZ PEYNIR | HAYDARİ | ARPA ŞEHRİYE ÇORBASI | YOĞURTLU KARNABAHAR KIZARTMASI | ÇOBAN SALATASI | IZGARA KÖFTE
9,81.1,18.35,435.0,1,5,12,12,2191.67,79.07,289.29,34.93,1660.83,29;41;53;90;81;399;402;150;28;271;346;168,INCİR REÇELİ | KURU KAYISI | PANKEK | YAZ HELVASI | ŞEFTALİ SUYU | ZEYTİNYAĞLI ISPANAK | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | HİNDİ SALAMI | KREMALI DOMATES  ÇORBASI | SEBZELİ BULGUR PİLAVI | ETLİ NOHUT
