solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
0,102.7,40.34,262.0,0,4,10,18,2458.09,88.91,254.44,44.39,1681.79,286;12;22;367;81;21;113;3;161;285;76;82;29;169;236;217;266;292,MANDALİNA | ÇİLEK REÇELİ | GREYFURT SUYU | TAM BUĞDAY EKMEK LD | ŞEFTALİ SUYU | FINDIK EZMESİ | AYVA | AYVA REÇELİ | ERİK | MALTA ERİĞİ | SİYAH ZEYTIN | TAHİN PEKMEZ | INCİR REÇELİ | ETLİ TAZE FASULYE | İÇ PİLAV | HAYDARİ | KORNİŞON TURŞU | MANTARLI PİLİÇ KAVURMA
1,99.7,26.54,375.0,0,3,13,17,2358.79,57.88,336.04,18.7,2005.94,264;362;44;42;22;12;86;3;76;6;78;382;271;370;346;386;242,KİRAZ | ŞEFTALİ SUYU LD | LOR PEYNİRİ | KUŞBURNU MARMELATI | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | SOSİSLİ MİLFÖY BÖREĞİ | YOĞURT TATLISI | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | YOĞURTLU ISPANAK | KABAK MÜCVER
2,97.5,29.96,365.0,0,2,10,14,2528.59,110.49,251.88,28.99,1420.05,42;113;22;79;252;36;12;29;161;234;134;298;271;364,KUŞBURNU MARMELATI | AYVA | GREYFURT SUYU | SÜT | KAYISI SUYU LD | KAYMAK | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | ISPANAKLI PATATES ÇORBASI | CEVİZLİ ERİŞTE | MEYHANE PİLAVI | KREMALI DOMATES  ÇORBASI | ŞEHRİYELİ HİNDİ GÜVEÇ
3,92.7,22.46,350.0,0,3,12,17,2271.49,56.87,342.06,22.9,1374.28,113;362;42;44;22;12;86;3;76;6;248;382;271;346;129;19;85,AYVA | ŞEFTALİ SUYU LD | KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | KARPUZ | YOĞURT TATLISI | KREMALI DOMATES  ÇORBASI | SEBZELİ BULGUR PİLAVI | BULGUR PİLAVI | ERZİNCAN ÇORBASI | TAVADA YUMURTA
4,91.8,22.6,459.0,0,2,12,18,1948.72,36.39,306.71,32.92,1887.87,113;362;42;44;22;12;86;3;76;6;248;107;108;152;301;283;272;193,AYVA | ŞEFTALİ SUYU LD | KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | KARPUZ | ARPA ŞEHRİYE ÇORBASI | ARPA ŞEHRİYE PİLAVI | DOMATESLİ MAKARNA | MISIRLI PİRİNÇ PİLAVI | MAKARNA SALATASI LD | KREMALI FESLEĞENLİ MAKARNA | ETSİZ PİRİNÇLİ KABAK YAHNİ
5,91.6,36.53,202.0,0,1,11,19,2425.51,100.19,344.87,37.86,1479.14,42;113;81;82;286;3;367;21;12;29;161;285;76;224;326;109;253;266;77,KUŞBURNU MARMELATI | AYVA | ŞEFTALİ SUYU | TAHİN PEKMEZ | MANDALİNA | AYVA REÇELİ | TAM BUĞDAY EKMEK LD | FINDIK EZMESİ | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | MALTA ERİĞİ | SİYAH ZEYTIN | HAZIR PAKETLİ SÜTLÜ TATLI-SÜTLAÇ | PİLİÇ SOTE | ARPA ŞEHRİYELİ AYRAN ÇORBASI | KEMALPAŞA TATLISI | KORNİŞON TURŞU | SOSİS
6,90.9,41.27,260.0,0,2,9,18,2434.03,102.39,293.91,37.53,1453.75,89;42;113;81;286;3;21;12;29;161;285;92;44;7;231;301;352;202,YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | AYVA | ŞEFTALİ SUYU | MANDALİNA | AYVA REÇELİ | FINDIK EZMESİ | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | MALTA ERİĞİ | YEŞİL ZEYTIN | LOR PEYNİRİ | BÖĞÜRTLEN REÇELİ | HİNDİ SOTE | MISIRLI PİRİNÇ PİLAVI | SEBZELİ PİRİNÇ PİLAVI | FIRIN KÖFTE
7,88.7,35.92,304.0,0,3,12,19,2212.15,48.92,319.7,50.37,1417.25,89;42;113;81;286;3;367;21;12;29;161;44;7;262;20;117;246;45;116,YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | AYVA | ŞEFTALİ SUYU | MANDALİNA | AYVA REÇELİ | TAM BUĞDAY EKMEK LD | FINDIK EZMESİ | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | LOR PEYNİRİ | BÖĞÜRTLEN REÇELİ | KIYMALI TAZE FASULYE | EZOGELİN ÇORBASI | BAHARATLI ELMA DİLİM PATATES KIZARTMASI | KARNABAHAR SALATASI LD | MAKARNA SALATASI | BADEMLİ PİRİNÇ PİLAVI
8,88.2,31.43,345.0,0,3,13,16,2302.59,105.12,249.26,22.16,2440.35,264;362;42;44;22;12;86;3;76;6;78;386;99;231;392;182,KİRAZ | ŞEFTALİ SUYU LD | KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | SOSİSLİ MİLFÖY BÖREĞİ | YOĞURTLU ISPANAK | ANDALOZ ÇORBASI | HİNDİ SOTE | YOĞURTLU MANTI MAKARNA | ETSİZ KABAK DOLMASI
9,87.7,36.11,335.0,0,4,12,16,2321.07,98.2,188.22,18.38,1659.94,42;44;22;79;252;36;12;29;161;285;28;205;24;349;273;54,KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | SÜT | KAYISI SUYU LD | KAYMAK | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | MALTA ERİĞİ | HİNDİ SALAMI | FIRIN PİLİÇ BAGET | HAVUÇ SALATASI | SEBZELİ KAŞARLI IZGARA KÖFTE | KREMALI ISPANAK ÇORBASI | PARMAK PATATES KIZARTMASI B
